"","SoC","Exp"
"1",20535.785590983,42805.621003841
"2",25009.8202709998,40717.3949486971
"3",22686.5489761539,45270.0842842646
"4",22602.7461295511,49127.0734902187
"5",21897.5506787469,43357.5144360627
"6",20993.4512152154,41139.1843112504
"7",18128.0038119333,42852.9867264897
"8",20790.2257087762,44595.4567831615
"9",20918.8556069129,46502.5220768336
"10",22298.3131121125,43687.3072331299
"11",19929.1738250539,47279.2014707478
"12",21543.2573774437,51487.2336735736
"13",19864.75959276,46568.2362420324
"14",20223.3436815773,38382.8063809183
"15",20504.3652196503,47034.0842300995
"16",19980.0898659134,36843.6826924151
"17",20886.8177272875,50099.314257823
"18",23725.591879019,38576.5606930133
"19",22059.8704686594,53820.3548989129
"20",22529.5296898388,50499.6313234586
"21",22254.944352438,48633.71817722
"22",20356.5631116185,41616.5821497143
"23",18840.9738557078,42626.2430696268
"24",22324.2106314403,43843.6923353553
"25",18394.8732112563,44968.002718292
"26",24112.5944402298,53561.2981495761
"27",21484.7673461667,56317.5977685105
"28",22456.489126996,45855.6961298527
"29",23931.6158981603,54542.8922528613
"30",19764.4270210204,42377.6794177936
"31",20562.3400660767,44433.8875074791
"32",22460.7755439251,46666.763289091
"33",22995.7602093335,48652.2540189219
"34",18215.9524609122,42287.8185376815
"35",19138.4099372375,40759.5782085004
"36",22779.4381393971,49030.0322360468
"37",23065.0496448552,48292.5259713944
"38",20024.7395181113,39858.5857482971
"39",20696.2467294834,43550.9167961567
"40",20062.0195131606,41016.274619942
"41",19886.1169082393,43912.8387047822
"42",21242.4840367464,49172.6853874385
"43",22336.401769187,45253.5630338039
"44",17881.3436859175,41929.3843479036
"45",21289.3597716579,37724.9010594196
"46",20138.5143036066,46783.318121813
"47",25155.7087214665,50127.2442712921
"48",20385.8102482067,40599.7518667076
"49",23689.2834556345,39947.5074824916
"50",21033.546431156,53626.9355515133
"51",23491.8583266845,45355.7006711954
"52",21194.9823333231,47778.8558166565
"53",20659.67065895,44891.167756002
"54",21783.2900863874,41333.6849050075
"55",18086.3833021673,48164.0679744997
"56",21878.4850421791,44672.1444684399
"57",22032.412704469,45326.7428110233
"58",20304.0966095093,41786.6849197496
"59",20380.1529252272,42438.2526430547
"60",22739.9093874972,41475.5896465082
"61",22836.1739316234,59351.1736097182
"62",24777.3452991245,52187.5627977638
"63",20486.9250254697,39525.4003437141
"64",20539.7950232749,47837.5075299743
"65",22933.7449017482,48677.505217375
"66",20506.6354676566,45395.7854527705
"67",23085.2376380572,43076.6706273
"68",20129.8199139825,41711.7298814463
"69",21977.68862039,44390.7547144098
"70",20364.0222505151,46198.8019475658
"71",21401.6909243271,46198.3361452692
"72",22512.3389544391,43397.7062917817
"73",21151.0931420908,43277.7026011294
"74",22630.6637374186,54120.7043537879
"75",20489.0455993668,38823.1361148429
"76",20164.7268925664,43356.8007465979
"77",23274.0060396333,47987.6659796295
"78",21121.7890639865,44389.6686196343
"79",20463.894815338,45003.1971031365
"80",22107.1778947665,53100.9120923979
"81",22503.1501477314,51087.9388138572
"82",19288.8201417671,42453.4249881089
"83",19899.7706267827,40734.0435278358
"84",21174.0720074753,46845.2823206405
"85",18631.4302628119,43123.9244530259
"86",22279.2306159435,40545.3628971658
"87",21974.6477111681,44108.9926034747
"88",21336.0056256839,40761.0400028417
"89",21279.7016691184,50208.4253652414
"90",20572.0879325011,47283.3941898046
"91",18626.584964308,49937.5471201441
"92",21119.652578264,47199.3153018923
"93",18963.9487784393,38842.2032846513
"94",20961.3538328216,52465.1329039126
"95",21682.4698680646,49472.5593780669
"96",19164.4820954518,48203.4994348766
"97",18920.7068803154,46076.9952362272
"98",20925.6896625572,44355.1130939355
"99",20355.025190981,42166.715832232
"100",26242.5342955667,43389.5384690995
"101",23190.5746210458,46782.0535607375
"102",20345.0269780129,44093.4431639643
"103",21517.5356322128,50322.6472377454
"104",21660.1987620353,44732.9579740237
"105",24841.591114753,49432.2640623981
"106",19864.0499164911,46222.2138868538
"107",19688.4300082515,45567.7584631943
"108",23675.0333745174,48275.2681263448
"109",22674.6188965668,51941.1916140094
"110",20612.3918041663,53345.2311410393
"111",20997.7528499704,45558.7255658994
"112",19815.5978399944,45584.8121818642
"113",19638.7557647517,50901.5108368604
"114",20381.4734391862,46984.6437868623
"115",22133.2132782353,48224.5106905559
"116",22885.4933249108,51261.1783330838
"117",23171.9877048609,44880.4595966101
"118",24368.445335072,44704.2904138689
"119",21589.380470936,46862.5008288128
"120",20332.1483604315,42626.7782858
"121",20461.4989050668,48812.15870531
"122",22762.7876153633,50313.8333755827
"123",21595.7910679061,41024.6729624989
"124",21895.7479604805,43226.0961357434
"125",20587.5979479324,43687.5221645523
"126",22949.1784993659,59072.4278065243
"127",20056.7625343943,44735.3469774005
"128",24388.9198448518,51607.7135372277
"129",24329.032108825,54774.6533258748
"130",18718.5406258726,42468.4282972402
"131",19467.2736613647,48201.4251030021
"132",20652.8957435157,39195.0162353369
"133",22519.9170524632,45283.3189860297
"134",19708.16439601,42464.672618396
"135",20808.2574779623,50824.3442054678
"136",18880.3687310346,45085.1922554796
"137",22898.3211996895,40397.8499127472
"138",23607.5309246457,44697.2989032815
"139",18368.5214619923,35245.313104386
"140",21063.5519541209,46973.8093815513
"141",23092.0850876049,51074.9202189714
"142",18630.4549794029,45348.2332716319
"143",23112.3578003518,45646.7660544793
"144",23701.5915940994,50464.6346517321
"145",21267.5761522549,52227.0063204809
"146",21781.2822267475,43035.1671880525
"147",22615.8354612745,49838.3929401301
"148",22128.6927297406,45525.2823853601
"149",18832.749591862,43076.0033352676
"150",26537.0643157293,45673.6096689503
"151",20364.8092170846,48504.2423272269
"152",20358.9956765378,39792.3560052171
"153",19813.0081538759,43680.4380158293
"154",24016.8284204373,50103.5668918061
"155",19977.7641951619,46112.3810998727
"156",21312.6189446499,41027.460634976
"157",21057.8714270453,41170.4581410185
"158",20511.3036527127,48470.5609489522
"159",23796.041328771,57868.0957427839
"160",20126.0887721029,47132.6496008506
"161",20225.8102890589,42573.8012070302
"162",21127.9430503143,44741.661194604
"163",25242.84782515,53657.6640738477
"164",20952.0465686978,42846.7795150798
"165",19232.07218122,38923.7810867093
"166",20009.6524560636,41871.3429593148
"167",22681.5697687849,44647.689148776
"168",22377.1546888319,50888.8567406904
"169",20444.5062388363,42100.5451501127
"170",19455.7580800076,46217.1418772961
"171",24821.4485908097,47917.5324634894
"172",20129.7980315008,46706.1007821132
"173",21837.1709595088,51398.2828621434
"174",19373.9113069631,50736.1697232847
"175",20001.7790729364,45962.7348229864
"176",22828.6014030961,48543.7592445609
"177",21457.8094155404,43323.8494940491
"178",20674.4418156843,40470.5535450308
"179",21776.7812996993,50045.2308213672
"180",21730.8182412172,47607.0884175924
"181",21974.8847121401,45566.8594535238
"182",19591.9681381619,43148.9189827455
"183",21384.4595511198,50802.2395175982
"184",23657.310257344,46048.4096163566
"185",22047.3968014542,46927.6651174506
"186",23333.9267178337,52021.9390174498
"187",22489.9088603098,41801.410147252
"188",20456.302076873,45622.9327931231
"189",20155.8802647398,41272.4928535186
"190",19824.6316334285,48345.8474334804
"191",19893.532654289,51391.8060046134
"192",20366.4490318037,43013.423111121
"193",22399.5807654171,44556.5771114063
"194",21233.3496733364,43661.659349138
"195",20118.4026354881,41741.9691515439
"196",21264.140358942,51148.4065869564
"197",20697.9948524414,44236.2968660706
"198",21163.6798370109,50486.3316621123
"199",22403.6343283477,47742.3483754855
"200",22435.6071656652,41819.3474587478
"201",19525.149227811,40642.4422343822
"202",20699.8461157232,48514.1117963192
"203",21965.7656862653,46862.6655026016
"204",20350.3184419092,56492.0511936397
"205",20632.2726819324,46153.7360332779
"206",22698.6642697377,45592.4781521012
"207",19693.2426109957,47358.360299129
"208",21200.9550073398,49588.9006535213
"209",18626.3064997526,38293.3373200205
"210",23529.8888482177,69029.0693110079
"211",20655.0954944845,40909.1787123261
"212",22340.6171681394,43151.605143397
"213",23726.9241790759,57625.0877457211
"214",22929.9350675609,42840.1987328414
"215",23071.9961866016,42477.9403151655
"216",19055.2822611596,39927.4834717367
"217",21443.7915861483,39954.0177375427
"218",21213.761160386,43142.9418705223
"219",21077.0710482561,51404.1096140513
"220",20658.6638797352,45040.2019332124
"221",23225.2767379021,39298.5077450923
"222",21368.2669848286,46666.9016707777
"223",19876.1354116473,45072.7671919014
"224",19619.7448720778,46967.8614927975
"225",21385.9659891736,50146.4014701491
"226",22283.8055118175,53216.6950800632
"227",24005.5090799602,53273.9182484902
"228",22017.6317056954,42134.3509934164
"229",20895.9737773478,47588.8527097771
"230",21880.9669777491,47221.8237057326
"231",21424.3024693552,38518.6248213366
"232",21968.8739638977,46602.6089737943
"233",20570.274714284,44178.3230038765
"234",20359.848946881,50014.9982991854
"235",22176.7043930679,48233.1524647244
"236",21069.0506419389,46866.8765678444
"237",19899.8873072927,44479.4114616868
"238",21757.202075601,50451.9842022128
"239",20577.2386743564,48847.259281911
"240",19579.2131735209,48293.4596956946
"241",21806.6263811039,47970.5512859562
"242",23452.2355881745,49677.7988090763
"243",20027.3072327443,44115.7807246302
"244",22823.3641757484,46789.4586140642
"245",20609.3255484692,37708.8086447521
"246",19280.4415681766,43611.7132186028
"247",22628.1877143529,45012.6142649496
"248",20956.0136413549,40779.0223056923
"249",24251.5717268779,47949.134409773
"250",24283.684486664,47085.6253431111
"251",20041.3496948829,50593.2641170892
"252",21810.8558905432,46413.7657735039
"253",23634.1391317436,54529.8850435416
"254",22383.2615057013,39006.473028179
"255",22270.1393815904,49194.5974609508
"256",22918.9299231696,49449.7387943189
"257",19901.5592374467,36298.3362631358
"258",19628.7638399487,44711.1286662238
"259",23601.2344660524,50733.3790245226
"260",20518.7907580976,47987.1085891243
"261",22836.3722561534,44390.3985565609
"262",22254.0188066868,53790.5312650627
"263",21971.7219925159,38234.6807479679
"264",20891.5267828672,48378.7359524413
"265",19224.9602517536,56477.637056303
"266",19822.5148057628,43148.8759050248
"267",23258.598489584,48044.6329775111
"268",21303.6207008685,46350.6417914096
"269",20730.3328622543,38516.3854100435
"270",23598.8211755411,41233.8974221611
"271",19700.8905522215,44239.1453035088
"272",18985.0418688857,41795.5506392835
"273",17951.6905688308,38805.1424986179
"274",20280.1953667784,45099.526684765
"275",21613.8423160697,56788.5085173949
"276",22426.3828877684,50397.2880836253
"277",20388.7403304151,39577.402357363
"278",20770.3405562192,42250.2428879378
"279",20742.3527381606,41870.8297797458
"280",20740.9181763028,49393.0330007569
"281",30062.8620736981,66686.8702454277
"282",21325.0601351943,45323.2329643546
"283",21825.2347670748,51137.3695334659
"284",20325.64525786,35533.3301446657
"285",22194.2196114281,41510.6825373179
"286",22900.6014360835,50547.0929985814
"287",20636.3471340826,44923.7084663227
"288",22380.541080395,45234.8372696411
"289",21169.1964478053,47233.4594111984
"290",22447.1466662656,48918.2014673398
"291",19779.1073857594,37917.1029413338
"292",22783.4403324443,39733.3326529158
"293",19861.4769586522,50619.1265622022
"294",23104.0371768612,54610.2841546526
"295",19759.3404042312,55820.5417430237
"296",23754.9188621547,41337.5857655231
"297",20961.5803500291,38841.0102407701
"298",19289.4807887918,52181.5450628066
"299",21847.5583316355,39486.0657162134
"300",20411.1972090252,42450.4863711373
"301",21417.0374126091,48780.1035985199
"302",22631.5059925558,50161.7714458527
"303",22044.388089238,45362.8597976221
"304",21493.0726722778,43783.7298844232
"305",19749.5071628053,42059.0431917223
"306",20973.4692133308,41201.5587173709
"307",21763.6526304734,48749.5157035775
"308",22717.3723606801,43116.9406637975
"309",17583.0178590308,44344.9947373101
"310",22862.6780816509,47494.1234364464
"311",19661.2936468906,43879.7700522552
"312",20359.975147308,44552.6473851548
"313",22656.3832736401,43819.7239618224
"314",21265.2173915627,49586.2083032763
"315",22748.8162198903,48388.2647359352
"316",19640.9881338095,37517.1933576082
"317",20265.195723053,45767.6991787672
"318",23036.3662484997,48001.0357343763
"319",18961.240772565,39410.5384570505
"320",19840.6203286895,43519.8711228654
"321",19694.6792249109,42139.1399331266
"322",19948.8600947403,41474.6443586395
"323",22267.4183410714,45405.1348493367
"324",23773.9489816676,46420.0321901132
"325",22642.67088916,40280.3513176005
"326",22140.3359556541,43461.9548564901
"327",21548.5910337594,54382.1628369068
"328",17812.8622465179,42074.6136192968
"329",22661.3177484469,54738.6819234041
"330",22264.4208790069,49070.7208447546
"331",18382.3880109955,41284.0935984242
"332",24397.6920865923,52488.4997331638
"333",19938.6380129018,40111.0883663105
"334",19881.1417950502,41833.9157797493
"335",21048.5570964941,42125.8821049114
"336",19901.5871165998,50090.2738723439
"337",22873.6994199037,51594.8484883372
"338",23515.572859712,47621.897096215
"339",20539.093034765,42880.3611879818
"340",19617.9295064053,39293.8552774466
"341",20399.0167759329,47527.4199559341
"342",19238.6021779198,39181.2390454887
"343",19155.657306771,47534.2931958916
"344",20363.381840522,49636.9760239844
"345",19787.391831314,45715.7521716408
"346",22697.4208412756,45717.1584916575
"347",19643.8017736564,50105.2755678227
"348",19730.2568585209,51964.3868870459
"349",23371.5358921971,55825.2125949564
"350",19042.9084447089,43029.4767981991
"351",19235.858881543,45229.6418714154
"352",23979.539358356,53198.5289188735
"353",17639.9427311517,39369.0902274768
"354",21405.4947518586,45022.234033553
"355",20899.0631078081,44213.1628148497
"356",19159.6234986133,44929.6254367441
"357",22638.5401217792,47764.8665574021
"358",22361.5014744246,44918.1401519076
"359",21981.4815491412,44245.6629254315
"360",19253.8714947584,45058.4563700362
"361",19551.5047212346,39377.3376304047
"362",18741.2560239721,45278.3871669561
"363",20067.5646038414,37120.2039014623
"364",19319.7077602105,37570.8807464226
"365",24197.439721307,48507.5812938422
"366",20385.3219897326,46770.8763187184
"367",20978.7358370084,47274.7904390897
"368",20430.07224778,46856.2500034785
"369",21397.6029245751,39322.3368210343
"370",20728.0302621975,44487.7339721973
"371",20336.2833894811,44082.0847893427
"372",19016.0193143938,46148.2767557241
"373",21665.6079822643,42825.5717729301
"374",22690.0503037498,42192.3717639761
"375",19514.7739655893,39993.622003879
"376",22411.2265325269,44464.9301937919
"377",21125.1024495568,46183.1844070417
"378",18332.4190749232,39126.3735574546
"379",19934.6365242748,49319.1500461627
"380",21707.0732950076,42567.8229121613
"381",21123.8344165653,42086.3622317233
"382",22255.9128631743,45779.7657423099
"383",21305.7772193897,43010.5216319495
"384",23514.8995582665,44791.674691891
"385",21165.969348615,42613.2671129937
"386",20587.9948182778,44940.8986337309
"387",23162.4740287184,43476.5661631807
"388",24576.2072075594,52975.1124406203
"389",22472.6700045197,43197.0453723561
"390",20809.6898341175,42787.2200435592
"391",22510.6601977062,41930.3187066441
"392",23231.5076810569,45357.8932211427
"393",18794.4377811238,36293.2756742974
"394",19883.2459092343,38714.5317026784
"395",24223.6307468662,56834.5250243031
"396",20185.3383871234,45680.9868485015
"397",23719.2196999367,50176.6925443351
"398",22631.4182220557,37732.1414535216
"399",20970.6398026894,51664.9084867409
"400",22010.9337057938,48470.9454181491
"401",19527.5780769351,45538.1820084213
"402",21247.0016994991,52686.6648665844
"403",20778.1435618381,43586.4603331908
"404",18112.3838282324,36185.2563696661
"405",21266.3014184408,43387.6094072881
"406",22265.3157876873,44968.1560742271
"407",22416.9627574986,50405.7260251537
"408",20120.2305594695,39796.1270117256
"409",22951.6856984607,41875.1582806055
"410",18315.7458771593,44902.9969459931
"411",19430.9810669796,35374.2245448811
"412",22013.6889456421,42834.9697867632
"413",18463.8914329598,40869.3074404887
"414",20211.7484812586,38001.9418490808
"415",18727.4443763035,46616.1359293879
"416",22204.7059735334,48517.3025630914
"417",20319.280551979,45739.9435645245
"418",20984.3901697798,45430.5797246428
"419",20668.9697040498,46047.3833086816
"420",20324.6154567835,43321.4762067349
"421",19773.9192496982,43776.0634986048
"422",22242.6655097051,46152.6956546003
"423",20271.1746752105,47052.7778014966
"424",20730.265683672,45178.67225736
"425",21457.9337806831,47135.0838326123
"426",20415.2700922687,42849.3946671386
"427",19636.6280682811,38816.656259614
"428",21826.3979551342,45133.733719865
"429",19015.4693993548,41580.1423066391
"430",22848.9527916095,44069.1617645768
"431",20344.952552722,39780.0555986747
"432",21598.250156305,44286.4113980098
"433",20901.9616909137,40812.4402363981
"434",21187.1589240932,48806.3453639375
"435",20289.2810576343,44621.0754373941
"436",19273.6502463081,42315.5564872482
"437",18372.3852147041,45926.3620582795
"438",20145.0715659597,42187.4027561543
"439",22033.2351787185,48105.585703106
"440",21055.7527064481,45760.5581301839
"441",22455.1231742153,46285.2427150562
"442",19179.9642731344,40784.4398786101
"443",21015.5251827839,45425.0273608709
"444",20804.0935578003,51763.3327039922
"445",20726.8686320448,54648.1499244632
"446",19871.109020406,45437.5543198607
"447",20144.9219050666,46561.0098066724
"448",20317.1305327242,42734.6809683593
"449",24014.9756099072,51350.5333391236
"450",23011.0468708387,49761.8583263335
"451",20609.4285972548,42422.5632404493
"452",21222.2984057088,48929.7493355346
"453",21074.1185203586,38788.7612086902
"454",22897.9508588048,49504.9434331644
"455",21414.7562691545,56136.2878669813
"456",22750.4294060564,48734.3900374025
"457",19500.7635519672,43381.9612346903
"458",21704.9748314771,45364.374596561
"459",20240.9188061167,40607.1608320616
"460",20481.6676683897,44404.575284367
"461",21613.1043151427,42389.826086749
"462",21570.7887071167,43405.8912287812
"463",20935.7304605089,44793.7934769818
"464",25800.7236433233,48738.9504431009
"465",19026.8789273541,43349.3154926757
"466",20454.835062133,42089.8717969502
"467",19885.3898688769,41751.5161543489
"468",20328.2428668811,39451.8405261172
"469",18937.1526379849,45847.7795320987
"470",20036.6088285379,45178.7309006351
"471",22106.749683504,44391.0607532795
"472",21404.8268261142,54103.1980743686
"473",21725.3656708206,43726.6450231645
"474",26521.8715397113,55148.0983156573
"475",20377.0635428599,45175.4912782039
"476",20508.4534090556,45498.4003217926
"477",21137.6130741562,43599.9865988176
"478",20988.3082516679,46570.1792876315
"479",19346.9476280218,48909.7597402531
"480",21789.4777438006,46856.0528252024
"481",23286.1686676482,45496.2612672966
"482",21556.9952275288,44203.240381897
"483",19903.9039605371,37447.447519008
"484",19863.910314137,45995.8975523098
"485",20281.8304185934,41407.6233941904
"486",20229.6146100779,42574.5523505626
"487",24970.9009463711,50987.5693686664
"488",24173.5441570434,55222.0491965288
"489",20626.8541885581,36647.110531323
"490",19473.2909020777,46497.4876679693
"491",22473.5009132062,38459.6061268437
"492",19837.1250758679,48555.7292678059
"493",22665.1148998242,52249.8014739298
"494",21687.9094587803,47335.0462356777
"495",19704.9607189999,47593.1288877055
"496",22753.1213519035,35439.6520366902
"497",20122.8500345162,44195.7918998684
"498",21155.4463076822,43798.8373432975
"499",21224.1589919768,41483.139610007
"500",21602.3019409089,52810.8008349907
"501",21934.6071041263,40615.5173486589
"502",20896.0170581628,56010.0589930232
"503",21341.9682421658,48720.0153113367
"504",23108.473845368,50057.825840135
"505",20326.3924549577,45198.9863961625
"506",21399.6122826315,46148.1624659692
"507",21023.0334643534,39241.8833028643
"508",21728.3664097398,42501.9606599862
"509",21582.3672161911,51007.7004503418
"510",21239.7876835541,51241.0286880196
"511",23196.4792506886,46098.1840866046
"512",23637.3513191078,43036.6960284071
"513",24235.8010799565,54167.8934978368
"514",21665.0793196123,41027.877244161
"515",22340.6789650051,48600.2849211464
"516",20919.9855736575,53530.1559761109
"517",20062.4252658585,49198.5650301102
"518",20523.7294038766,50303.2538650994
"519",22539.118725144,46181.4002972542
"520",20502.2798388164,40915.055414387
"521",22676.8248843992,45563.0437641361
"522",20902.8818083669,45573.4095204705
"523",20193.5054399979,39838.4249072843
"524",22415.6955130009,46261.7431933948
"525",21046.5895003766,47967.5816929562
"526",23124.5310267628,48031.9448670897
"527",20269.7037066119,47447.6604703669
"528",23180.0335650732,50202.5462289843
"529",22672.6607793001,51279.9400780721
"530",19802.9509037343,55993.8366571609
"531",20136.5408270233,38556.013663103
"532",21344.599860062,45898.4757631653
"533",24664.7174987032,42669.0839211491
"534",21817.3509400166,54940.8943762059
"535",19759.268774102,44831.6624776001
"536",18633.9964860086,42156.4538937145
"537",21740.188066056,39481.9814689069
"538",20632.9163443348,43800.1467915405
"539",21745.2095263627,48636.1764185071
"540",19843.8161949967,44772.1908967217
"541",21588.1359413602,47531.2648272414
"542",20554.5163020819,46332.6907148877
"543",21435.0076092928,55883.9781288032
"544",22955.5502896419,52025.4919735234
"545",21517.6045839647,45592.7987456961
"546",23339.6574893414,43162.6722958982
"547",22915.6160293302,45602.9109912894
"548",21591.037000447,46323.343627066
"549",19185.3474551814,42488.9094961203
"550",22131.8756461444,49621.7012307036
"551",18445.5150522576,46038.0941901303
"552",22103.8156524535,41650.1705588143
"553",20151.436699772,47563.9359836735
"554",20787.4641820729,48324.7942451578
"555",20260.1922345977,47814.3369149099
"556",23856.5815694234,52853.8002306511
"557",22127.6556499729,39154.368533527
"558",24410.5147037106,45502.502060225
"559",22843.1320955408,51573.4684224411
"560",20233.8534300397,37959.609239361
"561",20651.7125050251,40308.8790939339
"562",20219.0629136874,38618.7505570102
"563",22801.6877874355,49583.74027747
"564",19653.654642512,44768.2005748657
"565",22994.72899897,44757.4814961587
"566",22601.6959957163,39274.8469129486
"567",19808.4024413908,43023.1494549876
"568",22463.9618759081,41816.3893214796
"569",21006.4494409439,47322.5737703438
"570",19253.7673585924,41722.1259159285
"571",22165.8242378424,41127.8263372398
"572",20936.047253693,46626.7762817935
"573",22061.2443963342,47803.3056943428
"574",22259.0919545492,54980.3323316558
"575",25054.7134072338,48717.0080308075
"576",18154.1531234892,45998.9255779963
"577",18848.2705303809,49673.3559548814
"578",21725.4252918471,55534.3912570048
"579",19924.1341706173,44923.3792938279
"580",21481.0846362017,43244.6517092758
"581",20161.8669145112,46412.6994879662
"582",18867.6634055802,45422.2558383406
"583",22382.8782741783,59253.4612025304
"584",24059.5109301845,48971.9105656851
