"","SoC","Exp"
"1",17132.4655132144,47792.2936106659
"2",19589.7578366065,44910.0945924978
"3",17685.53398345,50238.7923007545
"4",17997.3732029206,54057.8047862877
"5",18023.7214188642,47373.9762475573
"6",16455.951474769,44654.2073018707
"7",14473.937920222,47338.7898860523
"8",16783.5927413083,49176.1938214573
"9",17063.1761940314,51228.6416465874
"10",18071.149390679,48608.5241870672
"11",16949.8243551123,52260.8422354202
"12",17914.3866841391,57568.8508949668
"13",16744.1722140439,52180.4261641551
"14",16654.4758030909,42394.4697183986
"15",17853.7296856396,51893.1130984593
"16",16341.7874148015,41267.6098122656
"17",18193.0238578675,55961.7128913549
"18",18303.9439204151,42720.307032535
"19",17990.4003920394,59341.7680856034
"20",19083.7736829216,56663.9971224134
"21",18118.2121767919,53723.4344701872
"22",16604.3069831309,45779.8475901508
"23",15807.8217441261,46772.1139485585
"24",19387.2070792634,49996.7906019028
"25",15435.8913404721,50885.3290257428
"26",21336.5724747813,59917.070288534
"27",17840.5923686966,62514.5456270643
"28",18783.9206638028,50487.9088326185
"29",19105.2545771596,59803.5142875851
"30",16907.6457996365,47726.6678732569
"31",16857.8561506737,50533.9768884343
"32",18065.1066486963,51292.0842991251
"33",18658.4594662624,54654.4025536161
"34",14903.2666882133,47515.1163142885
"35",16889.4707788077,45565.1086899065
"36",18509.5833544625,52991.1502181109
"37",18371.7646145956,52715.335738742
"38",16892.3223054006,43971.3688989285
"39",16731.6294480911,47635.3897028272
"40",16922.4957626007,44729.0447796506
"41",16085.7678340732,48675.2926228767
"42",17069.057026653,54043.8021085371
"43",17864.9421708426,49763.4901253245
"44",15497.8654379305,46621.8643236258
"45",16608.861195866,41586.1895404115
"46",17023.3256508987,52105.5052687957
"47",19814.4412316465,55304.3158350469
"48",17189.4565444951,45165.1458978019
"49",18018.6306003006,44055.6417581368
"50",18350.8743051474,59984.2709566514
"51",19511.7696010465,49654.5198341832
"52",17913.2359827569,52908.8982686442
"53",17757.9705948893,49764.2950536076
"54",18527.605379596,45008.7816377454
"55",15340.1624259086,53457.4012713438
"56",17871.5035638674,47923.1136052163
"57",17448.3907215324,49288.7336675302
"58",16320.6902920503,46990.6693961924
"59",16362.5781073318,45988.2147339664
"60",18605.5939789955,45510.2687547545
"61",20016.5912291156,68469.3066267827
"62",19414.079135453,56605.2353009182
"63",16525.6350968648,42620.9045339786
"64",16850.9467821515,53050.4048766338
"65",19517.4749889746,54628.9054859762
"66",16672.070689766,51606.1289714191
"67",19290.8130884109,47397.4504971707
"68",17088.1499215664,46930.2629630242
"69",18241.7424317979,47808.1092233713
"70",16901.9357529654,51254.8045896153
"71",17031.8656960071,50492.7324328725
"72",18663.0934345034,47893.13869068
"73",17702.6357283924,47783.8086428031
"74",18033.5848405061,60359.2350656585
"75",17367.4638818383,43569.7580721001
"76",16901.2878661672,47941.2603686298
"77",18910.1942195466,52637.8652454676
"78",16849.9494288192,48649.3186096542
"79",17132.3592797738,50149.0029937454
