,SoC,Exp,Incremental cost,SoC,Exp,Incremental effect,,ICER
1,20535.78559,42805.621,22269.83541,0.353415581,0.640076158,0.286660577,,77687.12258
2,25009.82027,40717.39495,15707.57468,0.304321483,0.605845726,0.301524243,,52093.90303
3,22686.54898,45270.08428,22583.53531,0.317917018,0.677700716,0.359783698,,62769.75707
4,22602.74613,49127.07349,26524.32736,0.295286876,0.634860406,0.339573531,,78110.70345
5,21897.55068,43357.51444,21459.96376,0.418501013,0.69701144,0.278510426,,77052.64049
6,20993.45122,41139.18431,20145.7331,0.311656818,0.541590899,0.229934081,,87615.25492
7,18128.00381,42852.98673,24724.98291,0.337554583,0.612452596,0.274898013,,89942.38484
8,20790.22571,44595.45678,23805.23107,0.336566258,0.583945588,0.24737933,,96229.66907
9,20918.85561,46502.52208,25583.66647,0.38242004,0.729125585,0.346705544,,73790.76245
10,22298.31311,43687.30723,21388.99412,0.297005031,0.635594363,0.338589332,,63170.90374
11,19929.17383,47279.20147,27350.02765,0.373663876,0.674519156,0.30085528,,90907.58732
12,21543.25738,51487.23367,29943.9763,0.325401723,0.720312008,0.394910285,,75824.75671
13,19864.75959,46568.23624,26703.47665,0.316809302,0.660186827,0.343377525,,77767.10673
14,20223.34368,38382.80638,18159.4627,0.370656028,0.674800851,0.304144823,,59706.63098
15,20504.36522,47034.08423,26529.71901,0.303873109,0.587323266,0.283450157,,93595.7112
16,19980.08987,36843.68269,16863.59283,0.33341966,0.621918593,0.288498933,,58452.87768
17,20886.81773,50099.31426,29212.49653,0.343797735,0.740883455,0.39708572,,73567.23016
18,23725.59188,38576.56069,14850.96881,0.354315186,0.656323746,0.30200856,,49173.99961
19,22059.87047,53820.3549,31760.48443,0.309269971,0.645785364,0.336515393,,94380.48026
20,22529.52969,50499.63132,27970.10163,0.332643894,0.693570001,0.360926106,,77495.36858
21,22254.94435,48633.71818,26378.77382,0.383580877,0.692723738,0.309142861,,85328.74974
22,20356.56311,41616.58215,21260.01904,0.338928984,0.670105311,0.331176326,,64195.46734
23,18840.97386,42626.24307,23785.26921,0.377663304,0.617429975,0.239766671,,99201.7328
24,22324.21063,43843.69234,21519.4817,0.381705062,0.720761773,0.33905671,,63468.67956
25,18394.87321,44968.00272,26573.12951,0.295624708,0.695856224,0.400231516,,66394.39532
26,24112.59444,53561.29815,29448.70371,0.395741355,0.641807597,0.246066242,,119677.951
27,21484.76735,56317.59777,34832.83042,0.364856972,0.688289295,0.323432323,,107697.4314
28,22456.48913,45855.69613,23399.207,0.267657717,0.455007332,0.187349615,,124895.9441
29,23931.6159,54542.89225,30611.27635,0.294822967,0.568736109,0.273913142,,111755.4133
